set I := 1 2 3 4 5 6 7 8 9 10 11 12;
set J := 1 2;

param demand :=
1 1 10000  
1 2 50000
2 1 10000  
2 2 50000
3 1 10000  
3 2 150000
4 1 10000  
4 2 150000
5 1 30000  
5 2 150000
6 1 30000  
6 2 150000
7 1 30000  
7 2 150000
8 1 30000  
8 2 150000
9 1 30000  
9 2 150000
10 1 100000  
10 2 50000
11 1 100000  
11 2 50000
12 1 100000  
12 2 50000;

param cost :=
1 1 5  
1 2 8
2 1 5  
2 2 8
3 1 5  
3 2 8
4 1 5  
4 2 8
5 1 5  
5 2 8
6 1 5  
6 2 8
7 1 4.5  
7 2 7.5
8 1 4.5  
8 2 7.5
9 1 4.5  
9 2 7.5
10 1 4.5  
10 2 7.5
11 1 4.5  
11 2 7.5
12 1 4.5  
12 2 7.5;

param prodlimit :=
1 120000
2 120000
3 120000
4 120000
5 120000
6 120000
7 120000
8 120000
9 120000
10 150000
11 150000
12 150000;

param storage :=
1 2
2 4;

param storlimit := 150000;
param storagecost := 0.2;
